DATE,PM1,PM2,COEFF1,COEFF2
5/6/1981,0824,2046,96,91
6/6/1981,0912,2134,86,80
7/6/1981,1001,2225,73,67
8/6/1981,1055,2321,61,56
9/6/1981,1155,,51,
10/6/1981,0022,1257,48,45
11/6/1981,0124,1401,44,45
12/6/1981,0227,1502,46,48
13/6/1981,0326,1554,51,54
14/6/1981,0415,1637,57,61
15/6/1981,0457,1716,64,66
16/6/1981,0536,1753,69,71
17/6/1981,0613,1830,73,74
18/6/1981,0649,1905,75,76
19/6/1981,0724,1940,77,76
20/6/1981,0758,2016,76,75
21/6/1981,0836,2056,74,72
22/6/1981,0917,2141,69,67
23/6/1981,1005,2231,64,62
24/6/1981,1059,2327,59,57
25/6/1981,1201,,56,
26/6/1981,0031,1311,55,56
27/6/1981,0143,1422,58,61
28/6/1981,0251,1527,64,69
29/6/1981,0355,1625,74,79
30/6/1981,0452,1718,83,87
1/7/1981,0545,1809,91,94
2/7/1981,0636,1858,96,97
3/7/1981,0724,1945,96,95
4/7/1981,0810,2031,93,91
5/7/1981,0855,2115,87,83
6/7/1981,0937,2157,78,72
7/7/1981,1019,2241,67,61
8/7/1981,1105,2330,56,51
9/7/1981,1159,,47,
10/7/1981,0027,1300,44,41
11/7/1981,0128,1403,40,40
12/7/1981,0231,1506,41,44
13/7/1981,0334,1602,47,50
14/7/1981,0427,1649,54,58
15/7/1981,0513,1731,62,65
16/7/1981,0554,1810,69,72
17/7/1981,0632,1848,75,77
18/7/1981,0709,1925,79,81
19/7/1981,0745,2003,82,83
20/7/1981,0823,2042,83,82
21/7/1981,0903,2124,81,79
22/7/1981,0946,2210,77,74
23/7/1981,1034,2302,70,67
24/7/1981,1130,,63,
25/7/1981,0002,1237,60,58
26/7/1981,0112,1353,56,56
27/7/1981,0227,1505,58,60
28/7/1981,0337,1609,64,69
29/7/1981,0439,1706,74,79
30/7/1981,0534,1757,83,87
31/7/1981,0624,1845,90,92
1/8/1981,0710,1929,94,94
2/8/1981,0752,2011,93,92
3/8/1981,0831,2048,89,86
4/8/1981,0906,2123,82,77
5/8/1981,0939,2157,72,67
6/8/1981,1014,2236,61,55
7/8/1981,1059,2326,50,45
8/8/1981,1157,,40,
9/8/1981,0030,1307,36,34
10/8/1981,0140,1419,33,34
11/8/1981,0252,1527,37,41
12/8/1981,0357,1622,46,52
13/8/1981,0448,1707,57,63
14/8/1981,0531,1749,68,73
15/8/1981,0612,1828,78,82
16/8/1981,0650,1907,86,89
17/8/1981,0728,1945,92,94
18/8/1981,0805,2024,95,95
19/8/1981,0844,2104,93,91
20/8/1981,0925,2148,88,83
21/8/1981,1010,2237,78,73
22/8/1981,1102,2336,67,61
23/8/1981,1209,,56,
24/8/1981,0051,1331,52,50
25/8/1981,0213,1452,50,53
26/8/1981,0329,1601,57,63
27/8/1981,0433,1658,69,75
28/8/1981,0525,1747,80,84
29/8/1981,0610,1830,88,91
30/8/1981,0651,1909,93,94
31/8/1981,0728,1944,94,93
1/9/1981,0801,2017,91,88
2/9/1981,0832,2047,85,81
3/9/1981,0901,2117,76,71
4/9/1981,0932,2150,65,59
5/9/1981,1009,2230,53,47
6/9/1981,1055,2325,41,36
7/9/1981,1203,,32,
8/9/1981,0044,1327,29,29
9/9/1981,0209,1447,31,36
10/9/1981,0324,1549,41,48
11/9/1981,0419,1639,55,63
12/9/1981,0505,1723,70,77
13/9/1981,0547,1805,83,89
14/9/1981,0627,1845,94,99
15/9/1981,0706,1924,102,104
16/9/1981,0744,2003,105,105
17/9/1981,0823,2044,103,100
18/9/1981,0904,2127,95,89
19/9/1981,0948,2217,82,75
20/9/1981,1040,2317,67,60
21/9/1981,1149,,53,
22/9/1981,0038,1318,48,45
23/9/1981,0206,1443,46,49
24/9/1981,0322,1553,55,61
25/9/1981,0423,1647,67,73
26/9/1981,0511,1731,79,83
27/9/1981,0451,1709,87,89
28/9/1981,0527,1743,91,92
29/9/1981,0559,1815,92,92
30/9/1981,0630,1845,90,88
1/10/1981,0700,1915,85,82
2/10/1981,0729,1944,78,73
3/10/1981,0759,2015,68,62
4/10/1981,0831,2050,56,51
5/10/1981,0912,2138,45,39
6/10/1981,1010,2250,34,30
7/10/1981,1133,,29,
8/10/1981,0021,1259,30,34
9/10/1981,0144,1410,40,47
10/10/1981,0244,1505,55,63
11/10/1981,0334,1554,72,80
12/10/1981,0419,1638,87,94
13/10/1981,0501,1721,100,105
14/10/1981,0542,1802,108,111
15/10/1981,0623,1843,111,110
16/10/1981,0703,1926,108,104
17/10/1981,0746,2011,98,91
18/10/1981,0832,2102,84,75
19/10/1981,0926,2205,67,59
20/10/1981,1037,2328,52,47
21/10/1981,1204,,45,
22/10/1981,0050,1324,46,49
23/10/1981,0205,1433,54,59
24/10/1981,0303,1525,65,70
25/10/1981,0348,1608,75,78
26/10/1981,0426,1643,82,84
27/10/1981,0459,1715,86,87
28/10/1981,0530,1746,88,88
29/10/1981,0601,1818,87,85
30/10/1981,0632,1849,83,81
31/10/1981,0703,1918,77,74
1/11/1981,0733,1949,69,65
2/11/1981,0806,2025,60,55
3/11/1981,0847,2112,50,45
4/11/1981,0942,2216,40,36
5/11/1981,1052,2337,34,34
6/11/1981,1212,,36,
7/11/1981,0059,1326,41,47
8/11/1981,0205,1429,55,63
9/11/1981,0300,1522,71,79
10/11/1981,0349,1611,87,94
11/11/1981,0435,1657,100,105
12/11/1981,0520,1742,108,110
13/11/1981,0603,1827,111,110
14/11/1981,0647,1912,108,104
15/11/1981,0732,2000,98,92
16/11/1981,0821,2052,85,77
17/11/1981,0916,2154,69,62
18/11/1981,1023,2307,56,51
19/11/1981,1138,,48,
20/11/1981,0020,1250,47,48
21/11/1981,0130,1358,50,54
22/11/1981,0231,1453,58,62
23/11/1981,0318,1538,66,69
24/11/1981,0356,1615,73,75
25/11/1981,0430,1648,77,79
26/11/1981,0503,1722,80,81
27/11/1981,0537,1755,81,81
28/11/1981,0611,1829,80,79
29/11/1981,0643,1900,77,75
30/11/1981,0715,1933,72,69
1/12/1981,0750,2010,65,62
2/12/1981,0832,2056,57,54
3/12/1981,0922,2153,50,47
4/12/1981,1022,2259,44,43
5/12/1981,1130,,44,
6/12/1981,0013,1243,46,50
7/12/1981,0124,1351,55,61
8/12/1981,0226,1451,67,75
9/12/1981,0321,1546,81,88
10/12/1981,0411,1637,94,98
11/12/1981,0500,1726,102,105
12/12/1981,0547,1814,106,106
13/12/1981,0635,1902,105,103
14/12/1981,0723,1950,99,94
15/12/1981,0812,2040,88,82
16/12/1981,0903,2133,76,70
17/12/1981,0958,2232,63,58
18/12/1981,1059,2334,53,49
19/12/1981,1202,,47,
20/12/1981,0037,1305,46,46
21/12/1981,0141,1408,48,51
22/12/1981,0237,1502,53,57
23/12/1981,0324,1546,60,63
24/12/1981,0404,1625,66,69
25/12/1981,0441,1702,72,74
26/12/1981,0518,1739,76,77
27/12/1981,0554,1814,78,78
28/12/1981,0629,1847,78,78
29/12/1981,0703,1922,77,76
30/12/1981,0739,1959,74,72
31/12/1981,0819,2041,69,66
1/1/1982,0904,2129,63,60
2/1/1982,0955,2225,57,55
3/1/1982,1054,2330,53,52
4/1/1982,1202,,52,
5/1/1982,0043,1315,54,57
6/1/1982,0153,1424,61,66
7/1/1982,0256,1525,72,78
8/1/1982,0353,1621,84,89
9/1/1982,0445,1713,94,98
10/1/1982,0536,1803,101,102
11/1/1982,0624,1851,103,102
12/1/1982,0712,1936,101,98
13/1/1982,0757,2020,94,89
14/1/1982,0840,2103,84,78
15/1/1982,0924,2147,71,65
16/1/1982,1010,2237,59,53
17/1/1982,1104,2336,48,43
18/1/1982,1206,,40,
19/1/1982,0041,1312,39,39
20/1/1982,0149,1422,41,43
21/1/1982,0251,1519,47,51
22/1/1982,0340,1605,56,60
23/1/1982,0422,1645,64,68
24/1/1982,0501,1723,72,75
25/1/1982,0538,1759,78,80
26/1/1982,0614,1833,83,84
27/1/1982,0649,1908,85,86
28/1/1982,0724,1944,85,84
29/1/1982,0802,2022,83,80
30/1/1982,0843,2105,77,74
31/1/1982,0929,2154,70,66
1/2/1982,1022,2252,61,57
2/2/1982,1127,,54,
3/2/1982,0005,1245,52,52
4/2/1982,0126,1404,53,57
5/2/1982,0239,1513,62,68
6/2/1982,0341,1611,75,81
7/2/1982,0435,1703,87,92
8/2/1982,0525,1751,97,100
9/2/1982,0611,1835,102,103
10/2/1982,0655,1916,102,101
11/2/1982,0734,1953,98,94
12/2/1982,0810,2027,89,84
13/2/1982,0844,2101,77,71
14/2/1982,0921,2140,64,57
15/2/1982,1005,2232,50,44
16/2/1982,1105,2341,38,34
17/2/1982,1218,,31,
18/2/1982,0057,1339,31,32
19/2/1982,0215,1452,36,41
20/2/1982,0314,1543,47,53
21/2/1982,0359,1624,59,64
22/2/1982,0439,1702,70,75
23/2/1982,0517,1739,80,85
24/2/1982,0554,1814,89,92
25/2/1982,0630,1849,94,96
26/2/1982,0705,1924,97,96
27/2/1982,0742,2001,95,92
28/2/1982,0822,2042,89,84
1/3/1982,0906,2128,79,73
2/3/1982,0957,2223,66,60
3/3/1982,1102,2338,54,49
4/3/1982,1228,,47,
5/3/1982,0109,1355,47,50
6/3/1982,0229,1506,56,62
7/3/1982,0333,1603,70,77
8/3/1982,0426,1652,83,89
9/3/1982,0512,1734,94,97
10/3/1982,0553,1814,100,101
11/3/1982,0631,1849,101,100
12/3/1982,0706,1922,98,94
13/3/1982,0738,1952,90,86
14/3/1982,0808,2023,80,74
15/3/1982,0840,2057,67,61
16/3/1982,0917,2139,54,47
17/3/1982,1006,2238,40,35
18/3/1982,1119,,30,
19/3/1982,0000,1249,27,27
20/3/1982,0126,1414,30,35
21/3/1982,0236,1510,41,48
22/3/1982,0327,1554,55,62
23/3/1982,0411,1634,69,76
24/3/1982,0451,1713,82,88
25/3/1982,0529,1750,93,98
26/3/1982,0606,1826,101,103
27/3/1982,0643,1902,104,104
28/3/1982,0821,2040,102,99
29/3/1982,0902,2122,95,89
30/3/1982,0948,2209,83,75
31/3/1982,1041,2306,67,60
1/4/1982,1150,,53,
2/4/1982,0025,1321,48,45
3/4/1982,0158,1447,45,49
4/4/1982,0318,1556,55,61
5/4/1982,0420,1649,68,74
6/4/1982,0510,1733,80,85
